569,Cortona Bench Straight,Benches_and_Tables,"18""","16""",,,,"18""h x 44""l x 16""w",569.png,41.jpg,Giannini,
570,Cortona Bench Curved,Benches_and_Tables,"18""","16""",,,,"18""h x 56""l x 16""w",570.png,41.jpg,Giannini,
571,Cortona Dining Table,Benches_and_Tables,"31""",,,,,"31""h x 48""round",571.png,41.jpg,Giannini,
LD8027-1,Lattice Dining Chair,Benches_and_Tables,"36""","21""",,,,"36""h x 21""w",LD8027-1.png,41.jpg,Giannini,
571,Cortona Dining Table,Benches_and_Tables,"31""",,,,,"31""h x 48""round",571.png,41.jpg,Giannini,
LD777-11,Elizabeth Swivel Rocker,Benches_and_Tables,"36""","25""",,,,"36""h x 25""w",LD777-11.png,41.jpg,Giannini,
516,Venice Curved Bench,Benches_and_Tables,,,"19""",,,"49""l x 19""b",516.png,928.jpg,Giannini,
517,Rimini Curved Bench,Benches_and_Tables,,,"19""",,,"49""l x 19""b",517.png,928.jpg,Giannini,
511,Acantbus Garden Cbair,Benches_and_Tables,,,"33""",,,"33""b",511.png,928.jpg,Giannini,
521,Acanthus Garden Table,Benches_and_Tables,,,"31""","50""",,"31""b x 50""d",521.png,928.jpg,Giannini,
518,Acantbus Garden Seat,Benches_and_Tables,,"17""","18""",,,"18""b x 17""w",518.png,928.jpg,Giannini,
519,Acanthus Garden Curved Bencb,Benches_and_Tables,,,"21""",,,"55""l x 21""b",519.png,928.jpg,Giannini,
522,Green Man Bench,Benches_and_Tables,"35""",,,,,"62""l x 35"" h",522.png,929.jpg,Giannini,
523,San Marco Bench,Benches_and_Tables,"35""",,,,,"77""l x 35"" h",523.png,929.jpg,Giannini,
N,NATURAL,Finishes,,,,,,,N.png,580.jpg,Giannini,
SC,SPANISH CLAY,Finishes,,,,,,,SC.png,580.jpg,Giannini,
ST,SANDSTONE,Finishes,,,,,,,ST.png,580.jpg,Giannini,
TC,TERRA COTTA,Finishes,,,,,,,TC.png,580.jpg,Giannini,
CT,COTTO,Finishes,,,,,,,CT.png,580.jpg,Giannini,
AN,ANTICO,Finishes,,,,,,,AN.png,580.jpg,Giannini,
VT,VINTAGE,Finishes,,,,,,,VT.png,580.jpg,Giannini,
RS,RUSTICO,Finishes,,,,,,,RS.png,580.jpg,Giannini,
TR,TRAVERTINE,Finishes,,,,,,,TR.png,580.jpg,Giannini,
TO,TOSCANO,Finishes,,,,,,,TO.png,580.jpg,Giannini,
SL,SLATE,Finishes,,,,,,,SL.png,580.jpg,Giannini,
DO,DORATO,Finishes,,,,,,,DO.png,580.jpg,Giannini,
OL,OLYMPIA,Finishes,,,,,,,OL.png,580.jpg,Giannini,
VR,VERONA,Finishes,,,,,,,VR.png,580.jpg,Giannini,
IR,IRON,Finishes,,,,,,,IR.png,580.jpg,Giannini,
BR,BRONZE,Finishes,,,,,,,BR.png,580.jpg,Giannini,
OTC,OLD TERRA COTTA,Finishes,,,,,,,OTC.png,580.jpg,Giannini,
LS,LIMESTONE,Finishes,,,,,,,LS.png,580.jpg,Giannini,
LB,LAMP BLACK,Finishes,,,,,,,LB.png,580.jpg,Giannini,
ENG,ENGLISH,Finishes,,,,,,,ENG.png,580.jpg,Giannini,
412,Rectangular Firetable,Fire_Pits_and_Tables,"15¼""","84""w x 36""d x 15¼""h",,,,"84""w x 36""d x 15¼""h",412.png,1263.jpg,Giannini,
415,Rectangular Fire Table,Fire_Pits_and_Tables,"15""","48""",,"28""",,"48""w x 28""d x 15""h",415.png,1264.jpg,Giannini,
na,concrete fire pit,Fire_Pits_and_Tables,,,,,,n/a,na.png,1265.jpg,Giannini,
5011P,Fuoco Square Fire Table with Propane Burner & Electronic Ignition,Fire_Pits_and_Tables,"24""","36""w x 36""d",,,,"24""H x 36""W x 36""D",5011P.png,1318.jpg,Giannini,
5011NG,Fuoco Square Fire Table with Natural Gas Burner & Electronic Ignition,Fire_Pits_and_Tables,"24""","36""w x 36""d",,,,"24""H x 36""W x 36""D",5011NG.png,1318.jpg,Giannini,
5012P,Fuoco Rectangular Fire Table with Propane Burner & Electronic Ignition,Fire_Pits_and_Tables,"24""","50""",,"25""",,"24""H x 50""W X 25""D",5012P.png,1319.jpg,Giannini,
